ID,Nombre,Lineas,Latitud,Longitud
99,Mixcoac,7-12,19.3738211,-99.1905503
148,Insurgentes Sur,12,19.3735296,-99.1812723
149,Hospital 20 de noviembre,12,19.3719039,-99.1737877
57,Zapata,3-12,19.37124,-99.1668949
150,Parque de los Venados,12,19.3705593,-99.1593077
151,Eje Central,12,19.3614223,-99.153253
41,Ermita,2-12,19.3611331,-99.1455843
152,Mexicaltzingo,12,19.3580336,-99.1236495
111,Atlalilco,8-12,19.35239,-99.1068166
153,Culhuacán,12,19.3367958,-99.1117786
154,San Andrés Tomatlán,12,19.3281456,-99.1070562
155,Lomas Estrella,12,19.3220329,-99.096076
156,Calle 11,12,19.3208403,-99.0862997
157,Periferico Oriente,12,19.31756,-99.0767949
158,Tezonco,12,19.3066,-99.0689649
159,Olivos,12,19.30426,-99.0615549
160,Nopalera,12,19.3003781,-99.0471009
161,Zapotitlán,12,19.2968092,-99.0364
162,Tlaltengo,12,19.2938468,-99.0253417
163,Tláhuac,12,19.2858702,-99.0143643
