ID,Nombre,Lineas,Latitud,Longitud
132,Ciudad Azteca,B,19.534595,-99.0275
133,Plaza Aragón,B,19.528447,-99.030118
134,Olímpica,B,19.521328,-99.033422
135,Ecatepec,B,19.515301,-99.035997
136,Muzquiz,B,19.501629,-99.042048
137,Rio de los remedios,B,19.490908,-99.046597
138,Impulsora,B,19.485851,-99.048915
139,Nezahualcoyotl,B,19.473066,-99.054537
140,Villa de Aragón,B,19.461656,-99.061704
141,Bosque de Aragón,B,19.458115,-99.069192
142,Deportivo Oceania,B,19.451034,-99.07917
74,Oceania,5-B,19.445672,-99.087238
143,Romero Rubio,B,19.440735,-99.094362
144,Ricardo Flores Magon,B,19.436567,-99.103675
14,San Lázaro,1-B,19.43091,-99.1177449
68,Morelos,4-B,19.438974,-99.119003
145,Tepito,B,19.442495,-99.12333
146,Lagunilla,B,19.443386,-99.131334
101,Garibaldi,8-B,19.444458,-99.139724
49,Guerrero,3-B,19.4447104,-99.1477662
147,Buenavista,B,19.4478,-99.1522
